食品名
アマランサス玄穀
あわ精白粒
えんばくオートミール
おおむぎ七分つき押麦
おおむぎ押麦乾
おおむぎ米粒麦
おおむぎ大麦めん乾
おおむぎ大麦めんゆで
おおむぎ麦こがし
キヌア玄穀
きび精白粒
こむぎ［玄穀］国産普通
こむぎ［玄穀］輸入軟質
こむぎ［玄穀］輸入硬質
こむぎ［小麦粉］中力粉1等
こむぎ［小麦粉］中力粉2等
こむぎ［小麦粉］強力粉全粒粉
こむぎ［小麦粉］プレミックス粉お好み焼き用
こむぎ［小麦粉］プレミックス粉ホットケーキ用
こむぎ［小麦粉］プレミックス粉から揚げ用
こむぎ［小麦粉］プレミックス粉天ぷら用
こむぎ［小麦粉］プレミックス粉天ぷら用バッター
こむぎ［パン類］角形食パン食パン
こむぎ［パン類］角形食パン焼き
こむぎ［パン類］角形食パン耳を除いたもの
こむぎ［パン類］食パンリーンタイプ
こむぎ［パン類］食パンリッチタイプ
こむぎ［パン類］山形食パン食パン
こむぎ［パン類］コッペパン
こむぎ［パン類］バンズ
こむぎ［パン類］乾パン
こむぎ［パン類］フランスパン
こむぎ［パン類］全粒粉パン
こむぎ［パン類］ロールパン
こむぎ［パン類］クロワッサンレギュラータイプ
こむぎ［パン類］くるみパン
こむぎ［パン類］イングリッシュマフィン
こむぎ［パン類］ナン
こむぎ［パン類］ベーグル
こむぎ［うどん・そうめん類］うどん生
こむぎ［うどん・そうめん類］うどんゆで
こむぎ［うどん・そうめん類］うどん半生うどん
こむぎ［うどん・そうめん類］干しうどん乾
こむぎ［うどん・そうめん類］干しうどんゆで
こむぎ［うどん・そうめん類］そうめん・ひやむぎ乾
こむぎ［うどん・そうめん類］そうめん・ひやむぎゆで
こむぎ［うどん・そうめん類］手延そうめん・手延ひやむぎ乾
こむぎ［うどん・そうめん類］手延そうめん・手延ひやむぎゆで
こむぎ［中華めん類］中華めん生
こむぎ［中華めん類］中華めんゆで
こむぎ［中華めん類］半生中華めん
こむぎ［中華めん類］蒸し中華めん蒸し中華めん
こむぎ［中華めん類］蒸し中華めんソテー
こむぎ［中華めん類］干し中華めん乾
こむぎ［中華めん類］干し中華めんゆで
こむぎ［中華めん類］沖縄そば生
こむぎ［中華めん類］沖縄そばゆで
こむぎ［中華めん類］干し沖縄そば乾
こむぎ［中華めん類］干し沖縄そばゆで
こむぎ［即席めん類］即席中華めん油揚げ味付け
こむぎ［即席めん類］即席中華めん油揚げ乾（添付調味料等を含むもの）
こむぎ［即席めん類］即席中華めん油揚げ調理後全体（添付調味料等を含むもの）
こむぎ［即席めん類］即席中華めん油揚げゆで（添付調味料等を含まないもの）
こむぎ［即席めん類］即席中華めん油揚げ乾（添付調味料等を含まないもの）
こむぎ［即席めん類］即席中華めん非油揚げ乾（添付調味料等を含むもの）
こむぎ［即席めん類］即席中華めん非油揚げ調理後全体（添付調味料等を含むもの）
こむぎ［即席めん類］即席中華めん非油揚げゆで（添付調味料等を含まないもの）
こむぎ［即席めん類］即席中華めん非油揚げ乾（添付調味料等を含まないもの）
こむぎ［即席めん類］中華スタイル即席カップめん油揚げ塩味乾（添付調味料等を含むもの）
こむぎ［即席めん類］中華スタイル即席カップめん油揚げ塩味調理後のめん（スープを残したもの）
こむぎ［即席めん類］中華スタイル即席カップめん油揚げしょうゆ味乾（添付調味料等を含むもの）
こむぎ［即席めん類］中華スタイル即席カップめん油揚げしょうゆ味調理後のめん（スープを残したもの）
こむぎ［即席めん類］中華スタイル即席カップめん油揚げ焼きそば乾（添付調味料等を含むもの）
こむぎ［即席めん類］中華スタイル即席カップめん非油揚げ乾（添付調味料等を含むもの）
こむぎ［即席めん類］中華スタイル即席カップめん非油揚げ調理後全体（添付調味料等を含むもの）
こむぎ［即席めん類］中華スタイル即席カップめん非油揚げ調理後のめん（スープを残したもの）
こむぎ［即席めん類］和風スタイル即席カップめん油揚げ乾（添付調味料等を含むもの）
こむぎ［即席めん類］和風スタイル即席カップめん油揚げ調理後のめん（スープを残したもの）
こむぎ［マカロニ・スパゲッティ類］マカロニ・スパゲッティ乾
こむぎ［マカロニ・スパゲッティ類］マカロニ・スパゲッティゆで
こむぎ［マカロニ・スパゲッティ類］マカロニ・スパゲッティソテー
こむぎ［マカロニ・スパゲッティ類］生パスタ生
こむぎ［その他］ぎょうざの皮生
こむぎ［その他］しゅうまいの皮生
こむぎ［その他］ピザ生地
こむぎ［その他］パン粉生
こむぎ［その他］パン粉半生
こむぎ［その他］パン粉乾燥
こむぎ［その他］冷めん生
こめ［水稲穀粒］玄米
こめ［水稲穀粒］半つき米
こめ［水稲穀粒］七分つき米
こめ［水稲穀粒］精白米うるち米
こめ［水稲穀粒］精白米インディカ米
こめ［水稲穀粒］はいが精米
こめ［水稲穀粒］発芽玄米
こめ［水稲穀粒］赤米
こめ［水稲穀粒］黒米
こめ［水稲めし］玄米
こめ［水稲めし］半つき米
こめ［水稲めし］七分つき米
こめ［水稲めし］精白米うるち米
こめ［水稲めし］はいが精米
こめ［水稲めし］発芽玄米
こめ［水稲めし］赤米
こめ［水稲軟めし］精白米
こめ［水稲全かゆ］玄米
こめ［陸稲穀粒］玄米
こめ［陸稲穀粒］半つき米
こめ［陸稲穀粒］七分つき米
こめ［陸稲穀粒］精白米
こめ［陸稲めし］玄米
こめ［陸稲めし］半つき米
こめ［陸稲めし］七分つき米
こめ［陸稲めし］精白米
こめ［うるち米製品］アルファ化米一般用
こめ［うるち米製品］アルファ化米学校給食用強化品
こめ［うるち米製品］水稲全かゆレトルト玄米
こめ［うるち米製品］水稲全かゆレトルト精白米
こめ［うるち米製品］おにぎり
こめ［うるち米製品］焼きおにぎり
こめ［うるち米製品］きりたんぽ
こめ［うるち米製品］上新粉
こめ［うるち米製品］玄米粉
こめ［うるち米製品］米粉
こめ［うるち米製品］米粉パン食パン
こめ［うるち米製品］米粉パンロールパン
こめ［うるち米製品］米粉パン小麦グルテン不使用のもの
こめ［うるち米製品］米粉めん
こめ［うるち米製品］ビーフン
こめ［うるち米製品］ライスペーパー
こめ［うるち米製品］米こうじ
こめ［もち米製品］あくまき
こめ［もち米製品］白玉粉
こめ［もち米製品］道明寺粉
そばそば粉全層粉
そばそば粉内層粉
そばそば粉中層粉
そばそば粉表層粉
そばそば米
そばそば生
そばそばゆで
そばそば半生そば
そば干しそば乾
そば干しそばゆで
とうもろこし玄穀黄色種
とうもろこし玄穀白色種
とうもろこしコーンミール黄色種
とうもろこしコーンミール白色種
とうもろこしコーングリッツ黄色種
とうもろこしコーングリッツ白色種
とうもろこしコーンフラワー黄色種
とうもろこしコーンフラワー白色種
とうもろこしポップコーン
とうもろこしコーンフレーク
ひえ精白粒
もろこし玄穀
もろこし精白粒
ライむぎ全粒粉
ライむぎライ麦粉
＜いも類＞アメリカほどいも塊根生
＜いも類＞アメリカほどいも塊根ゆで
＜いも類＞（さつまいも類）さつまいも塊根皮つき生
＜いも類＞（さつまいも類）さつまいも塊根皮つき蒸し
＜いも類＞（さつまいも類）さつまいも塊根皮つき天ぷら
＜いも類＞（さつまいも類）さつまいも塊根皮なし生
＜いも類＞（さつまいも類）さつまいも塊根皮なし蒸し
＜いも類＞（さつまいも類）さつまいも塊根皮なし焼き
＜いも類＞（さつまいも類）さつまいも蒸し切干
＜いも類＞（さつまいも類）むらさきいも塊根皮なし生
＜いも類＞（さつまいも類）むらさきいも塊根皮なし蒸し
＜いも類＞（さといも類）さといも球茎水煮
＜いも類＞（さといも類）さといも球茎冷凍
＜いも類＞（さといも類）たけのこいも球茎生
＜いも類＞（さといも類）たけのこいも球茎水煮
＜いも類＞（さといも類）みずいも球茎生
＜いも類＞（さといも類）みずいも球茎水煮
＜いも類＞（さといも類）やつがしら球茎生
＜いも類＞（さといも類）やつがしら球茎水煮
＜いも類＞じゃがいも塊茎皮つき生
＜いも類＞じゃがいも塊茎皮つきフライドポテト（生を揚げたもの）
＜いも類＞じゃがいも塊茎皮なし生
＜いも類＞じゃがいも塊茎皮なし水煮
＜いも類＞じゃがいも塊茎皮なし蒸し
＜いも類＞じゃがいも塊茎皮なし電子レンジ調理
＜いも類＞じゃがいも塊茎皮なしフライドポテト（生を揚げたもの）
＜いも類＞じゃがいも塊茎皮なしフライドポテト（市販冷凍食品を揚げたもの）
＜いも類＞じゃがいも乾燥マッシュポテト
＜いも類＞（やまのいも類）ながいもいちょういも塊根生
＜いも類＞（やまのいも類）ながいもながいも塊根生
＜いも類＞（やまのいも類）ながいもながいも塊根水煮
＜いも類＞（やまのいも類）ながいもやまといも塊根生
＜いも類＞（やまのいも類）じねんじょ塊根生
＜いも類＞（やまのいも類）だいじょ塊根生
＜でん粉・でん粉製品＞（でん粉類）おおうばゆりでん粉
＜でん粉・でん粉製品＞（でん粉類）キャッサバでん粉
＜でん粉・でん粉製品＞（でん粉類）くずでん粉
＜でん粉・でん粉製品＞（でん粉類）米でん粉
＜でん粉・でん粉製品＞（でん粉類）小麦でん粉
＜でん粉・でん粉製品＞（でん粉類）サゴでん粉
＜でん粉・でん粉製品＞（でん粉類）さつまいもでん粉
＜でん粉・でん粉製品＞（でん粉類）じゃがいもでん粉
＜でん粉・でん粉製品＞（でん粉類）とうもろこしでん粉
＜でん粉・でん粉製品＞（でん粉製品）くずきり乾
＜でん粉・でん粉製品＞（でん粉製品）くずきりゆで
＜でん粉・でん粉製品＞（でん粉製品）はるさめ緑豆はるさめ乾
＜でん粉・でん粉製品＞（でん粉製品）はるさめ普通はるさめ乾
＜でん粉・でん粉製品＞（でん粉製品）はるさめ普通はるさめゆで
（砂糖類）黒砂糖
（砂糖類）てんさい含蜜糖
（砂糖類）和三盆糖
（砂糖類）車糖上白糖
（砂糖類）車糖三温糖
（砂糖類）ざらめ糖中ざら糖
（砂糖類）加工糖コーヒーシュガー
（砂糖類）加工糖粉糖
（砂糖類）液糖転化型液糖
（その他）黒蜜
（その他）はちみつ
（その他）はちみつ国産品
あずき全粒乾
あずき全粒ゆで
あずきゆで小豆缶詰
あずきあんこし生あん
あずきあんさらしあん（乾燥あん）
あずきあんこし練りあん（並あん）
あずきあんこし練りあん（中割りあん）
あずきあんこし練りあん（もなかあん）
あずきあんつぶし生あん
あずきあんつぶし練りあん
いんげんまめうずら豆
えんどう全粒青えんどう乾
えんどう全粒青えんどうゆで
えんどう全粒赤えんどう乾
えんどう全粒赤えんどうゆで
えんどううぐいすあん
ささげ全粒乾
だいず［全粒・全粒製品］きな粉（砂糖入り）青きな粉
だいず［全粒・全粒製品］きな粉（砂糖入り）きな粉
だいず［全粒・全粒製品］ぶどう豆
つるあずき全粒乾
ひよこまめ全粒乾
ひよこまめ全粒ゆで
べにばないんげん全粒乾
べにばないんげん全粒ゆで
りょくとう全粒ゆで
ぎんなんゆで
（くり類）日本ぐり生
（くり類）日本ぐりゆで
（くり類）中国ぐり甘ぐり
はす未熟生
はす成熟乾
はす成熟ゆで
（ひし類）とうびし生
（ひし類）とうびしゆで
